Titulo,Sinopsis,Fecha_Estreno,Genero_Principal,Puntuacion_Media_TMDb
Mortal Kombat II,"Los campeones favoritos de los fans, ahora acompañados por el propio Johnny Cage, se enfrentan cara a cara en la definitiva y sangrienta batalla a muerte para vencer al oscuro régimen de Shao Kahn, que amenaza la existencia del Reino de la Tierra y a sus defensores.",2026-05-06,Accion,7.989
Vacaciones para matar,"Un fugitivo trata de recuperar el botí­n de un robo que había escondido en una casa de montaña antes de ser detenido. Allí en lugar de pasar el fin de semana solos un matrimonio y la joven hermana de la mujer serán espiados a la espera de aprovechar la oportunidad idónea para recuperar los bienes robados, descubre sus secretos más morbosos antes de agredirlos para recuperar su botín.",1980-03-20,Accion,4.969
கருப்பு,,2026-05-14,Accion,6.7
The Mandalorian and Grogu,"Continuación de la serie ""The Mandalorian"" en forma de película. El Imperio ha caído y los señores de la guerra imperiales siguen dispersos por toda la galaxia. Mientras la incipiente Nueva República trabaja para proteger todo por lo que luchó la Rebelión, ha reclutado la ayuda del legendario cazarrecompensas mandaloriano Din Djarin y su joven aprendiz Grogu.",2026-05-20,Accion,6.741
పెద్ది,,2026-06-03,Accion,6.108
The Furious,"Rainy, hija del experto en artes marciales Wang Wei, es secuestrada por una red de tráfico de menores. En un frenético intento de recuperarla, el padre se lanza a la guerra, enfrentándose a numerosos obstáculos mientras lucha contra criminales y policías corruptos. En el camino conoce a Navin, un periodista en busca de su esposa desaparecida. Ambos despliegan sus habilidades de combate mientras aprenden las virtudes de la confianza mutua.",2026-06-10,Accion,7.689
ಕೆಡಿ - ದಿ ಡೆವಿಲ್,,2026-04-30,Accion,7.5
The Punisher: One Last Kill,"Mientras Frank Castle busca propósito más allá de la venganza, una fuerza inesperada lo arrastra de nuevo a la lucha.",2026-05-12,Accion,8.3
En la zona gris,"Un equipo encubierto de agentes de élite viven en la sombra, tan cómodos manejando el poder y la influencia como armas automáticas y explosivos de gran potencia. Cuando un déspota roba una fortuna de mil millones de dólares, son enviados a recuperarla en lo que para cualquier otro sería una misión suicida. Lo que comienza como un atraco imposible empeora aún más y se convierte en una guerra total de estrategia, engaño y supervivencia.",2026-05-13,Accion,6.609
He-Man y los masters del universo,"En las regiones más lejanas del espacio, el reino de Eternia está amenazado por el villano Skeletor y sus traviesos ejércitos de oscuridad. Para salvar el reino de su padre y proteger las vidas de sus seres queridos, el joven príncipe Adam tiene que recuperar una espada mítica y convertirse en el legendario guerrero conocido como ""He-Man"".",2026-06-03,Accion,7.237
Maridos en acción,Un detective se une al nuevo marido de su exmujer para buscar a los que la han secuestrado. ¿Podrán dejar a un lado sus diferencias y llevar a cabo este rescate trepidante?,2026-06-18,Accion,6.7
Patriotismo 2,"Hamza Ali Mazari, cuya verdadera identidad es Jaskirat Singh Rangi, continúa su operación encubierta en el mundo criminal de Pakistán mientras rastrea a Majo.",2026-03-18,Accion,7.3
Jack Ryan. Guerra encubierta,"En esta nueva película, Jack Ryan se ve empujado de vuelta al espionaje cuando una misión secreta internacional destapa una conspiración mortal. Contra reloj, se une a Mike November y James Greer, sus aliados de la CIA, y a Emma Marlow, una perspicaz agente del MI6, para enfrentarse a una unidad de operaciones encubiertas en una batalla muy personal y arriesgada.",2026-05-20,Accion,7.046
Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,El Cuerpo de Cazadores de Demonios se enfrenta a los Doce Kizuki restantes antes de enfrentarse a Muzan en el Castillo del Infinito para derrotarlo de una vez por todas.,2025-07-18,Accion,7.7
